1,FORCED ADOPTION IN THE UK,recognises the pain and suffering that the historical practice of forced adoption caused many women and children;,503
1,FORCED ADOPTION IN THE UK,and calls on the Government to issue an apology to women and children affected by that practice.,503
2,THE SECRETARY OF STATE’S HANDLING OF UNIVERSAL CREDIT,"censures the Secretary of State for Work and Pensions, the right hon. Member for Tatton, for her handling of the roll-out of universal credit and her response to the NAO report, Rolling Out Universal Credit;",305
2,THE SECRETARY OF STATE’S HANDLING OF UNIVERSAL CREDIT,notes that the Department for Work and Pensions’ own survey of claimants published on 8 June 2018 showed that 40 per cent of claimants were experiencing financial hardship even nine months into a claim and that 20 per cent of claimants were unable to make a claim online;,504
2,THE SECRETARY OF STATE’S HANDLING OF UNIVERSAL CREDIT,further censures the Secretary of State for Work and Pensions for not pausing the roll-out of universal credit in the light of this evidence;,305
2,THE SECRETARY OF STATE’S HANDLING OF UNIVERSAL CREDIT,and calls on the Government to reduce the Secretary of State for Work and Pensions’ ministerial salary to zero for four week.,305
3,DEFENCE INDUSTRY AND SHIPBUILDING,recognises the important contribution of the defence industry to the UK;,104
3,DEFENCE INDUSTRY AND SHIPBUILDING,"calls on the Government to support the UK defence industry by taking into account the economic and employment benefits to the UK when awarding contracts and to publish a full, overarching defence industrial strategy;",406
3,DEFENCE INDUSTRY AND SHIPBUILDING,and further calls on the Government to make the competition for the Fleet Solid Support ships contract a UK-only competition to maximise the return on that contract.,406
4,TRANSFORMING CARE PROGRAMME,"is concerned at the slow progress made under the Transforming Care programme, which was set up to improve the care and quality of life of children and adults with a learning disability and/or autism who display behaviour that challenges;",503
4,TRANSFORMING CARE PROGRAMME,"recognises that a substantial number of people with learning disabilities remain trapped in, and continue to be inappropriately admitted to, Assessment and Treatment Units rather than living with support in the community.",503
4,TRANSFORMING CARE PROGRAMME,is further concerned at the lack of capacity within community services;,504
4,TRANSFORMING CARE PROGRAMME,"notes evidence of the neglect, abuse, poor care, and premature deaths of people with learning disabilities;",503
4,TRANSFORMING CARE PROGRAMME,believes that the Transforming Care programme is unlikely to realise the ambitions set out in the Building the Right Support strategy before it ends in March 2019;,503
4,TRANSFORMING CARE PROGRAMME,"calls on the Government to establish, prioritise, and adequately resource a successor programme that delivers a shift away from institutional care by investing in community services across education, health and social care;",504
4,TRANSFORMING CARE PROGRAMME,and further calls on the Government to ensure that such a programme is based on lifelong support that protects people’s human rights and promotes their independence and wellbeing.,503
5,Claim of Right for Scotland,"That this House endorses the principles of the Claim of Right for Scotland, agreed by the Scottish Constitutional Convention in 1989 and by the Scottish Parliament in 2012, and therefore acknowledges the sovereign right of the Scottish people to determine the form of government best suited to their needs.",301
7,ERASMUS PLUS PROGRAMME,calls on the Government to negotiate continued access to the Erasmus+ programme and its successor schemes beyond 2020.,108
