"text","cmp_code","eu_code"
"Which party will make a real difference to my child's education?",NA,NA
"Our aim: To make Britain the world's foremost learning society by 2010.","411",NA
"The problem: This country's education has been underfunded and undermined by repeated shifts in policy.","506",NA
"Standards are too low, especially in core skills such as reading and maths.","506",NA
"Britain is too low in the world league tables.","506",NA
"Our commitment: Liberal Democrats will make education the next government's top priority.","506",NA
"We will invest an additional £2 billion per year in education, funded by an extra 1p in the pound on the basic rate of income tax.","506",NA
"Our first priority is to:",NA,NA
"- Give children the best start by providing high quality early years education for every 3 and 4 year-old child whose parents want it.","706",NA
"Key priorities are to:",NA,NA
"- Increase funding for books and equipment in schools.","506",NA
"In the first year, we will double spending on books and equipment to overcome the effect of recent cuts.",NA,NA
"- Reduce primary school class sizes so that within 5 years no child between 5 and 11 I will need to be in a class of more than 30.","506",NA
"- Tackle the backlog of repair and maintenance to buildings with £500m additional investment over 5 years.","506",NA
"- Boost chances for all adults to improve their skills and get better qualifications.","506",NA
"Making the best start",NA,NA
"Early years education is the essential building block for higher standards and achievement later on.","706",NA
"Every £1 spent on high quality under-fives education raises standards in later life and adds up to £7 of value to the nations economy.","706",NA
"We will:",NA,NA
"- Give children the best start by providing high quality early years education for every 3 and 4 year-old child whose parents want it.","706",NA
"This will be the first call on our £2 billion annual programme of extra investment in education.","506",NA
"- Promote high standards in early years education.","506",NA
"We will set minimum standards for care, curriculum and premises.","506",NA
"We will ensure that those in early years education are supervised by qualified staff.","506",NA
"- Provide choice in early years education.","506",NA
"We will scrap the bureaucratic voucher scheme.","408",NA
"We will ensure a variety of provision from a wide range of public, private and voluntary providers.","408",NA
"- Raising standards in schools.","506",NA
"We will raise standards in schools, especially in literacy and numeracy, which are still far too low.","506",NA
"We will:",NA,NA
"- Improve teaching standards.","506",NA
"We will set up a General Teaching Council, charged with improving teaching standards and making teaching a profession to be proud of again.","704",NA
"We will provide more opportunities for professional development and reward excellence in teaching.","704",NA
"We will help poor teachers improve, but if they cannot, we will ensure they do not continue to teach.","704",NA
"- Encourage schools to succeed.","506",NA
"We will strengthen the inspection system so that it helps schools and we will extend inspection to monitoring Local Education Authorities (LEAs).","506",NA
"- Strengthen discipline in schools.","603",NA
"We will support teachers in maintaining discipline and provide them with the means to do so - for example, by providing better access to special referral units.","603",NA
"We will require every school to develop a policy to tackle bullying and truancy.","603",NA
"We will launch a national Truancy Watch scheme.","603",NA
"We will oblige LEAs to fulfil their responsibilities to educate pupils excluded or suspended from school.","301",NA
"- Measure achievement in pupils and schools.","506",NA
"We will give every pupil a Personal Record of Achievement which will enable them to build up a set of nationally accredited qualifications and record their other achievements.","506",NA
"We will require schools to publish meaningful information on their standards, achievements and plans for the future.","506",NA
"- Improve the National Curriculum.","506",NA
"We will replace the National Curriculum with a more focused and flexible Minimum Curriculum Entitlement.","506",NA
"We will ensure that religious education provides pupils with an understanding of the major traditions of belief in this country.","603",NA
"- Boost literacy.","506",NA
"We will establish special literacy programmes involving parents with teachers in a drive to ensure that 90 per cent of all pupils reach their expected reading age by 2005.","506",NA
"Investing in schools",NA,NA
"Extra investment for well-equipped classrooms and better-maintained buildings is essential if standards are to improve.","506",NA
"We will:",NA,NA
"- Increase funding for books and equipment in schools.","506",NA
"In the first year, we will double spending on books and equipment to overcome the effect of recent cuts.","506",NA
"A typical primary school of 250 pupils will get an extra £16,000.","506",NA
"A typical secondary school of 1,000 pupils will get an extra £110,000.","506",NA
"- Reduce primary school class sizes so that within 5 years no child between 5 and 11 will need to be in a class of more than 30.","506",NA
"- Tackle the backlog of repairs.","506",NA
"We will invest an additional £500 million over 5 years in repairing crumbling and unsafe buildings.","506",NA
"- Support children with special needs.","506",NA
"We will fully fund the implementation of the Code of Practice for Special Educational Needs.","506",NA
"A new partnership for schools",NA,NA
"Involving parents in the education of their children and ensuring schools are supported by local communities are both essential to achieving higher standards and a better use of resources.","506",NA
"We will:",NA,NA
"- Increase the role of parents in education.","506",NA
"We will extend home/school/pupil links, develop home-school partnership arrangements and support parents with information and resources to help them help their child.","506",NA
"We will require the schools inspection service to report on home-school partnerships as part of school inspections.","506",NA
"We will promote school councils and guarantee automatic representation on governing bodies to staff and, where appropriate, students.","506",NA
"- Open up schools to the whole community.","411",NA
"We will encourage schools to develop courses for parents, build links with local leisure organisations to open up school sports facilities to the community and work with local businesses to provide improved computer education.","411",NA
"- Give all schools more independence and allow them to develop their own styles and strengths.","301",NA
"We will devolve as many powers as possible to schools and give them more control over their budgets.","303",NA
"We will make new 'light touch' LEAs responsible for those functions that cannot be undertaken by individual schools on their own, such as coordination, planning and monitoring standards.","303",NA
"We will bring grant-maintained schools and City Technology Colleges into this new framework and scrap the Funding Agency for Schools.","411",NA
"Liberal Democrats are opposed to selection, but believe that decisions on this should be made by local communities through their local Councils and not by politicians at Westminster.","301",NA
"- Recognise the valuable role of church schools in the maintained sector.","607",NA
"We will initiate a dialogue with all the major faiths about the role they wish to play in education in the future.","607",NA
"Where any of the major faiths wish to establish publicly funded voluntary schools we will enable them to do so, provided that they enjoy substantial community support, offer acceptable programmes of study, provide equality of opportunity and are able to deliver the Minimum Curriculum Entitlement.","607",NA
"- Forge a new partnership with the independent sector.","507",NA
"We will encourage independent schools to work with state schools.","507",NA
"We will phase out the Assisted Places Scheme","507",NA
"and use the money saved to enable LEAs, if they wish, to enter into local partnership schemes.","303",NA
"These could include assisting the funding of pupils at independent schools.","506",NA
"Pupils currently covered by the Assisted Places Scheme would, however, be protected until they finish their studies.","506",NA
"We will require independent schools to offer the Minimum Curriculum Entitlement.","506",NA
"We will extend charitable status to all schools without affecting total Council funding and maintain the VAT exemption on school fees.","402",NA
"Extending life-long learning",NA,NA
"In the information age, education must be a life-long activity from which people can benefit anywhere and at any time, rather than being something that only happens in school.","411",NA
"We will:",NA,NA
"- Widen access to further education.","411",NA
"We will give every person an Individual Learning Account as the basis for life-long post-school education with contributions made by the state, individuals and employers.","411",NA
"Our aim is that the state contribution will be at least equivalent to the cost of fees on approved courses.","411",NA
"We will replace the Student Loans Scheme with a fair repayment scheme linked to salaries in later life.","408",NA
"We oppose top-up fees for tuition.","408",NA
"Our aim is to ensure that students on approved courses (including part-time courses) up to first degree level are treated equally.","503",NA
"- Promote flexible learning.","411",NA
"We will create a higher standard credit-based system for all post-14 courses, including the current A-levels and degree courses.","411",NA
"We will work with the private sector to link all schools to the Information Super Highway and ensure that they have the equipment and skills to take advantage of this.","411",NA
"- Promote training in the workplace.","411",NA
"To support companies that invest in education and training, and to encourage others to do so, we will introduce a 2 per cent remissible levy on company payrolls.","408",NA
"This would be deductible against the cost of providing accredited training or making contributions to the Individual Learning Account.","408",NA
"Small businesses will be exempt.","408",NA
"We will give Training and Enterprise Councils the leading role in forging local partnerships to meet youth training and employment needs.","301",NA
"- Expand training opportunities for young people.","411",NA
"Our aim is to ensure that 16-19 year-oIds receive the equivalent of at least 2 days a week education or on-the-job training.","411",NA
"- Boost chances for all adults to improve their skills and get better qualifications.","411",NA
"We will ensure that all adults on approved courses or training have access to financial support, either through their Individual Learning Accounts or from their employer using our new remissible training levy.","408",NA
"- Improve the quality of tertiary courses.","411",NA
"We will create a new Quality Council to ensure high standards and value for money in all post-16 education and training courses.","411",NA
"- Secure academic freedom.","411",NA
"We will ensure the funding of university teaching and research, safeguard academic freedom and standards.","411",NA
"Which party will be best for my job and our firm?",NA,NA
"Our aim: To end the cycle of boom and bust and equip Britain's economy to compete in the global market-place.","408",NA
"The problem: Despite the current pre-election mini-boom, the fundamentals of Britain's economy remain weak.","414",NA
"We continue to be held back by instability in economic management, an underskilled labour force and chronic under-investment.","414",NA
"Britain continues to consume too much and invest too little.","414",NA
"Our commitment: Liberal Democrats will lock in economic stability, encourage saving and promote enterprise.","414",NA
"We will raise the quality of Britain's workforce through additional investment in education and training.","411",NA
"As part of our strategy to build a sustainable economy, we will shift the burden of taxation from employment to the depletion of natural resources.","408",NA
"Our priorities are to:",NA,NA
"- Provide stability in economic management to encourage long-term investment.","404",NA
"- Raise the quality of Britain's workforce and get people back to work.","408",NA
"- Promote enterprise and small businesses.","402",NA
"- Begin to shift taxation from jobs, wealth and goods to pollution and the depletion of natural resources.","408",NA
"Investing in Britain's future",NA,NA
"Long-term investment and economic stability are crucial to future economic success.","414",NA
"We will:",NA,NA
"- Secure stable prices and low interest rates.","414",NA
"We will turn the Bank of England into a UK Reserve Bank, free from political interference.","414",NA
"We will charge the Bank with keeping inflation low and make it accountable to Parliament for achieving this goal.","414",NA
"Lower inflation and greater exchange rate stability can be better secured by working with Britain's European partners.","108",NA
"The best framework for this is a single European currency and it is in Britain's interests to take part in this.","108",NA
"However, three conditions must be met before this can happen.","108",NA
"First, the single currency must be firmly founded on the Maastricht criteria.","108",NA
"Second, Britain must meet those criteria.","108",NA
"Third, the British people must have said yes' in a referendum.","202",NA
"If these conditions for a single currency are in place, Britain should join.","108",NA
"- Ensure responsible economic management.","414",NA
"We will keep to the 'golden rule' of public finance: over the economic cycle, total borrowing should not exceed total investment.","414",NA
"We will make the government accountable to Parliament for keeping to this rule, and subject it to independent monitoring.","414",NA
"We will cut wasteful spending and ensure new spending delivers value for money.","414",NA
"- Build up Britain's capital assets.","414",NA
"We will distinguish between capital and current spending in the national accounting system.","414",NA
"We will promote effective public/private investment partnerships at both national and local levels, with Councils' borrowing carefully controlled.","414",NA
"- Put Britain's people back to work.","408",NA
"We will enable long-term unemployed people to turn their unemployment benefits into 'working benefits' paid to an employer to recruit and train them.","701",NA
"We will break open the poverty traps that stop unemployed people from working.","701",NA
"Our plans for boosting investment in infrastructure, promoting small businesses and encouraging energy conservation will create hundreds of thousands of new jobs.","408",NA
"- Invest in a highly-skilled workforce.","408",NA
"Our investment of an additional £2 billion a year in education and training will improve skills and increase the nation's knowledge base.","411",NA
"- Promote environmental sustainability.","501",NA
"We will begin a long-term shift in taxation, reducing taxes on jobs, wealth and goods and shifting them to pollution and resource depletion.","501",NA
"We will use new national indicators of progress which include measures of quality of life and environmental sustainability.","501",NA
"- Encourage people to save.","414",NA
"Our aim is to extend the advantages of TESSAs and PEPs to a wider range of savers by developing a new save-as-you-earn scheme.","414",NA
"We will encourage personal and portable pension plans.","414",NA
"Investing in enterprise",NA,NA
"Small business, enterprise and self-employment are the engine of a modern dynamic economy and a vital source of new jobs and growth.","401",NA
"We will:",NA,NA
"- Support small and medium-sized businesses.","401",NA
"We will encourage the banks to develop new sources of private finance, including grants, equity finance and mutual guarantee schemes.","401",NA
"We will seek to expand the sources of 'seed-corn' capital.","401",NA
"We will legislate for a statutory right to interest on late debt payments.","408",NA
"We will require the banks to develop new codes of banking practice for small businesses.","403",NA
"We will cut red tape, for example by stopping European institutions interfering where they shouldn't and by preventing Whitehall departments 'goldplating' European regulations with extra rules.","110",NA
"We will, in the long-term, abolish the Uniform Business Rate and bring in a new, fairer local rating system.","301",NA
"We will ensure that government purchasing gives special emphasis and easier access to small and medium-sized firms.","401",NA
"- Boost regional and local economies.","403",NA
"We will set up regionally-based Development Agencies to build new partnerships between small businesses, local Councils, Business Links, TECs and local Chambers of Commerce.","403",NA
"We will encourage these bodies to come together to provide 'one-stop shops'.","403",NA
"We will enable Councils to raise capital for local infrastructure investment, where they work in partnership with the private sector.","403",NA
"We will encourage industrial development by promoting geographical centres of industrial excellence.","403",NA
"- Invest in research and innovation.","411",NA
"We will expand support for science and research by shifting government funds away from military Research and Development and into civil science and research,","105",NA
"and improve specialist research facilities for industry.","411",NA
"We will encourage regional technology transfer centres to bring together the resources of industry, universities and government laboratories.","411",NA
"- Promote tourism.","502",NA
"We will bring together the marketing and infrastructure work of government, local Councils and tourist boards.","502",NA
"We will ensure that local communities are involved in the planning of tourist developments from the earliest stages.","502",NA
"- Build new partnerships at work.","606",NA
